Bundling 6%
Bundling 11%
Bundling 28%
Bundling 65%
Bundling 71%
Bundling 76%
Bundling 81%
Bundling 87%
Bundling 92%
Bundling 98%
Bundling 100%
Bundling 100%
Bundling 100%
Getting composition
Composition          ComponentShowcase
Codec                h264
Output               out/demo_vertical.mp4
Concurrency          2x
Rendered 0/16900
Rendered 201/16900, time remaining: 23m 53s
Rendered 202/16900, time remaining: 23m 55s
Rendered 203/16900, time remaining: 23m 50s
Rendered 204/16900, time remaining: 23m 56s
Rendered 205/16900, time remaining: 24m 3s
Rendered 206/16900, time remaining: 23m 53s
Rendered 207/16900, time remaining: 23m 58s
Rendered 208/16900, time remaining: 23m 57s
Rendered 209/16900, time remaining: 24m 5s
Rendered 210/16900, time remaining: 24m 3s
Rendered 211/16900, time remaining: 24m 5s
Rendered 212/16900, time remaining: 24m 8s
Rendered 213/16900, time remaining: 24m 0s
Rendered 214/16900, time remaining: 24m 6s
Rendered 215/16900, time remaining: 24m 7s
Rendered 216/16900, time remaining: 24m 3s
Rendered 217/16900, time remaining: 24m 14s
Rendered 218/16900, time remaining: 24m 14s
Rendered 219/16900, time remaining: 24m 23s
Rendered 220/16900, time remaining: 24m 15s
Rendered 221/16900, time remaining: 24m 14s
Rendered 222/16900, time remaining: 24m 13s
Rendered 223/16900, time remaining: 24m 11s
Rendered 224/16900, time remaining: 24m 22s
Rendered 225/16900, time remaining: 24m 24s
Rendered 226/16900, time remaining: 24m 35s
Rendered 227/16900, time remaining: 24m 32s
Rendered 228/16900, time remaining: 24m 35s
Rendered 229/16900, time remaining: 24m 32s
Rendered 230/16900, time remaining: 24m 52s
Rendered 231/16900, time remaining: 24m 39s
Rendered 232/16900, time remaining: 24m 46s
Rendered 233/16900, time remaining: 24m 48s
Rendered 234/16900, time remaining: 24m 46s
Rendered 235/16900, time remaining: 24m 46s
Rendered 236/16900, time remaining: 24m 46s
Rendered 237/16900, time remaining: 24m 53s
Rendered 238/16900, time remaining: 25m 3s
Rendered 239/16900, time remaining: 24m 50s
Rendered 240/16900, time remaining: 24m 53s
Rendered 241/16900, time remaining: 24m 49s
Rendered 242/16900, time remaining: 24m 58s
Rendered 243/16900, time remaining: 24m 59s
Rendered 244/16900, time remaining: 25m 7s
Rendered 245/16900, time remaining: 25m 5s
Rendered 246/16900, time remaining: 25m 9s
Rendered 247/16900, time remaining: 25m 2s
Rendered 248/16900, time remaining: 25m 9s
Rendered 249/16900, time remaining: 25m 12s
Rendered 250/16900, time remaining: 25m 14s
Rendered 251/16900, time remaining: 25m 9s
Rendered 252/16900, time remaining: 25m 16s
Rendered 253/16900, time remaining: 25m 19s
Rendered 254/16900, time remaining: 25m 16s
Rendered 255/16900, time remaining: 25m 38s
Rendered 256/16900, time remaining: 25m 22s
Rendered 257/16900, time remaining: 25m 33s
Rendered 258/16900, time remaining: 25m 32s
Rendered 259/16900, time remaining: 25m 31s
Rendered 260/16900, time remaining: 25m 31s
Rendered 261/16900, time remaining: 25m 26s
Rendered 262/16900, time remaining: 25m 35s
Rendered 263/16900, time remaining: 25m 45s
Rendered 264/16900, time remaining: 25m 38s
Rendered 265/16900, time remaining: 25m 41s
Rendered 266/16900, time remaining: 25m 39s
Rendered 267/16900, time remaining: 25m 39s
Rendered 268/16900, time remaining: 25m 39s
Rendered 269/16900, time remaining: 25m 53s
Rendered 270/16900, time remaining: 25m 44s
Rendered 271/16900, time remaining: 25m 56s
Rendered 272/16900, time remaining: 25m 45s
Rendered 273/16900, time remaining: 26m 1s
Rendered 274/16900, time remaining: 25m 51s
Rendered 275/16900, time remaining: 25m 50s
Rendered 276/16900, time remaining: 25m 57s
Rendered 277/16900, time remaining: 25m 59s
Rendered 278/16900, time remaining: 26m 0s
Rendered 279/16900, time remaining: 26m 2s
Rendered 280/16900, time remaining: 25m 59s
Rendered 281/16900, time remaining: 26m 3s
Rendered 282/16900, time remaining: 25m 54s
Rendered 283/16900, time remaining: 25m 59s
Rendered 284/16900, time remaining: 26m 15s
Rendered 285/16900, time remaining: 26m 1s
Rendered 286/16900, time remaining: 26m 14s
Rendered 287/16900, time remaining: 26m 14s
Rendered 288/16900, time remaining: 26m 10s
Rendered 289/16900, time remaining: 26m 9s
Rendered 290/16900, time remaining: 26m 12s
Rendered 291/16900, time remaining: 26m 10s
Rendered 292/16900, time remaining: 26m 21s
Rendered 293/16900, time remaining: 26m 15s
Rendered 294/16900, time remaining: 26m 15s
Rendered 295/16900, time remaining: 26m 13s
Rendered 296/16900, time remaining: 26m 9s
Rendered 297/16900, time remaining: 26m 12s
Rendered 298/16900, time remaining: 26m 11s
Rendered 299/16900, time remaining: 26m 1s
Rendered 300/16900, time remaining: 26m 6s
Rendered 301/16900, time remaining: 26m 3s
Rendered 302/16900, time remaining: 26m 7s
Rendered 303/16900, time remaining: 26m 5s
Rendered 304/16900, time remaining: 26m 8s
Rendered 305/16900, time remaining: 26m 2s
Rendered 306/16900, time remaining: 25m 53s
Rendered 307/16900, time remaining: 25m 59s
Rendered 308/16900, time remaining: 25m 57s
Rendered 309/16900, time remaining: 26m 1s
Rendered 310/16900, time remaining: 25m 51s
Rendered 311/16900, time remaining: 26m 6s
Rendered 312/16900, time remaining: 26m 7s
Rendered 313/16900, time remaining: 26m 9s
Rendered 314/16900, time remaining: 26m 2s
Rendered 315/16900, time remaining: 25m 59s
Rendered 316/16900, time remaining: 26m 5s
Rendered 317/16900, time remaining: 26m 3s
Rendered 318/16900, time remaining: 26m 6s
Rendered 319/16900, time remaining: 26m 1s
Rendered 320/16900, time remaining: 25m 57s
Rendered 321/16900, time remaining: 26m 5s
Rendered 322/16900, time remaining: 25m 57s
Rendered 323/16900, time remaining: 26m 1s
Rendered 324/16900, time remaining: 26m 0s
Rendered 325/16900, time remaining: 25m 57s
Rendered 326/16900, time remaining: 26m 11s
Rendered 327/16900, time remaining: 26m 3s
Rendered 328/16900, time remaining: 25m 57s
Rendered 329/16900, time remaining: 25m 54s
Rendered 330/16900, time remaining: 25m 54s
Rendered 331/16900, time remaining: 26m 6s
Rendered 332/16900, time remaining: 25m 55s
Rendered 333/16900, time remaining: 26m 12s
Rendered 334/16900, time remaining: 26m 1s
Rendered 335/16900, time remaining: 26m 14s
Rendered 336/16900, time remaining: 26m 6s
Rendered 337/16900, time remaining: 26m 2s
Rendered 338/16900, time remaining: 26m 4s
Rendered 339/16900, time remaining: 26m 1s
Rendered 340/16900, time remaining: 26m 9s
Rendered 341/16900, time remaining: 26m 1s
Rendered 342/16900, time remaining: 26m 5s
Rendered 343/16900, time remaining: 25m 58s
Rendered 344/16900, time remaining: 25m 55s
Rendered 345/16900, time remaining: 26m 4s
Rendered 346/16900, time remaining: 26m 8s
Rendered 347/16900, time remaining: 26m 7s
Rendered 348/16900, time remaining: 26m 11s
Rendered 349/16900, time remaining: 26m 3s
Rendered 350/16900, time remaining: 26m 11s
Rendered 351/16900, time remaining: 26m 8s
Rendered 352/16900, time remaining: 26m 7s
Rendered 353/16900, time remaining: 26m 18s
Rendered 354/16900, time remaining: 26m 12s
Rendered 355/16900, time remaining: 26m 8s
Rendered 356/16900, time remaining: 26m 3s
Rendered 357/16900, time remaining: 26m 2s
Rendered 358/16900, time remaining: 26m 5s
Rendered 359/16900, time remaining: 25m 56s
Rendered 360/16900, time remaining: 25m 55s
Rendered 361/16900, time remaining: 26m 1s
Rendered 362/16900, time remaining: 26m 1s
Rendered 363/16900, time remaining: 26m 5s
Rendered 364/16900, time remaining: 26m 6s
Rendered 365/16900, time remaining: 26m 7s
Rendered 366/16900, time remaining: 26m 2s
