Bundling 6%
Bundling 11%
Bundling 17%
Bundling 28%
Bundling 65%
Bundling 71%
Bundling 76%
Bundling 81%
Bundling 87%
Bundling 92%
Bundling 98%
Bundling 100%
Bundling 100%
Bundling 100%
Getting composition
Composition          ComponentShowcase
Codec                h264
Output               out/series/collapse-ecosystems.mp4
Concurrency          2x
Rendered 177/1310, time remaining: 6m 22s
Rendered 178/1310, time remaining: 6m 20s
Rendered 179/1310, time remaining: 6m 22s
Rendered 180/1310, time remaining: 6m 21s
Rendered 181/1310, time remaining: 6m 20s
Rendered 182/1310, time remaining: 6m 18s
Rendered 183/1310, time remaining: 6m 13s
Rendered 184/1310, time remaining: 6m 16s
Rendered 185/1310, time remaining: 6m 13s
Rendered 186/1310, time remaining: 6m 11s
Rendered 187/1310, time remaining: 6m 10s
Rendered 188/1310, time remaining: 6m 10s
Rendered 189/1310, time remaining: 6m 9s
Rendered 190/1310, time remaining: 6m 7s
Rendered 191/1310, time remaining: 6m 6s
Rendered 192/1310, time remaining: 6m 4s
Rendered 193/1310, time remaining: 6m 1s
Rendered 194/1310, time remaining: 6m 0s
Rendered 195/1310, time remaining: 6m 0s
Rendered 196/1310, time remaining: 5m 58s
Rendered 197/1310, time remaining: 5m 59s
Rendered 198/1310, time remaining: 5m 57s
Rendered 199/1310, time remaining: 5m 56s
Rendered 200/1310, time remaining: 5m 58s
Rendered 201/1310, time remaining: 5m 51s
Rendered 202/1310, time remaining: 5m 56s
Rendered 203/1310, time remaining: 5m 51s
Rendered 204/1310, time remaining: 5m 55s
Rendered 205/1310, time remaining: 5m 53s
Rendered 206/1310, time remaining: 5m 53s
Rendered 207/1310, time remaining: 5m 53s
Rendered 208/1310, time remaining: 5m 51s
Rendered 209/1310, time remaining: 5m 55s
Rendered 210/1310, time remaining: 5m 51s
Rendered 211/1310, time remaining: 5m 53s
Rendered 212/1310, time remaining: 5m 51s
Rendered 213/1310, time remaining: 5m 53s
Rendered 214/1310, time remaining: 5m 49s
Rendered 215/1310, time remaining: 5m 52s
Rendered 216/1310, time remaining: 5m 48s
Rendered 217/1310, time remaining: 5m 49s
Rendered 218/1310, time remaining: 5m 51s
Rendered 219/1310, time remaining: 5m 50s
Rendered 220/1310, time remaining: 5m 49s
Rendered 221/1310, time remaining: 5m 49s
Rendered 222/1310, time remaining: 5m 49s
Rendered 223/1310, time remaining: 5m 49s
Rendered 224/1310, time remaining: 5m 49s
Rendered 225/1310, time remaining: 5m 46s
Rendered 226/1310, time remaining: 5m 47s
Rendered 227/1310, time remaining: 5m 47s
Rendered 228/1310, time remaining: 5m 45s
Rendered 229/1310, time remaining: 5m 49s
Rendered 230/1310, time remaining: 5m 47s
Rendered 231/1310, time remaining: 5m 49s
Rendered 232/1310, time remaining: 5m 48s
Rendered 233/1310, time remaining: 5m 48s
Rendered 234/1310, time remaining: 5m 49s
Rendered 235/1310, time remaining: 5m 46s
Rendered 236/1310, time remaining: 5m 46s
Rendered 237/1310, time remaining: 5m 48s
Rendered 238/1310, time remaining: 5m 47s
Rendered 239/1310, time remaining: 5m 47s
Rendered 240/1310, time remaining: 5m 47s
Rendered 241/1310, time remaining: 5m 47s
Rendered 242/1310, time remaining: 5m 47s
Rendered 243/1310, time remaining: 5m 47s
Rendered 244/1310, time remaining: 5m 45s
Rendered 245/1310, time remaining: 5m 49s
Rendered 246/1310, time remaining: 5m 45s
Rendered 247/1310, time remaining: 5m 49s
Rendered 248/1310, time remaining: 5m 43s
Rendered 249/1310, time remaining: 5m 47s
Rendered 250/1310, time remaining: 5m 44s
Rendered 251/1310, time remaining: 5m 47s
Rendered 252/1310, time remaining: 5m 45s
Rendered 253/1310, time remaining: 5m 49s
Rendered 254/1310, time remaining: 5m 45s
Rendered 255/1310, time remaining: 5m 50s
Rendered 256/1310, time remaining: 5m 47s
Rendered 257/1310, time remaining: 5m 50s
Rendered 258/1310, time remaining: 5m 49s
Rendered 259/1310, time remaining: 5m 50s
Rendered 260/1310, time remaining: 5m 50s
Rendered 261/1310, time remaining: 5m 49s
Rendered 262/1310, time remaining: 5m 49s
Rendered 263/1310, time remaining: 5m 49s
Rendered 264/1310, time remaining: 5m 49s
Rendered 265/1310, time remaining: 5m 50s
Rendered 266/1310, time remaining: 5m 50s
Rendered 267/1310, time remaining: 5m 50s
Rendered 268/1310, time remaining: 5m 53s
Rendered 269/1310, time remaining: 5m 50s
Rendered 270/1310, time remaining: 5m 51s
Rendered 271/1310, time remaining: 5m 49s
Rendered 272/1310, time remaining: 5m 49s
Rendered 273/1310, time remaining: 5m 48s
Rendered 274/1310, time remaining: 5m 48s
Rendered 275/1310, time remaining: 5m 48s
Rendered 276/1310, time remaining: 5m 44s
Rendered 277/1310, time remaining: 5m 46s
Rendered 278/1310, time remaining: 5m 43s
Rendered 279/1310, time remaining: 5m 43s
Rendered 280/1310, time remaining: 5m 41s
Rendered 281/1310, time remaining: 5m 45s
